ChannelName,Uploads,Subscribers (in M),Views,Category
Multi DO Challenge Hindi,274.00,6.45,3041542730,People&Blogs
American prank,373.00,2.07,2681066399,Entertainment
SET India,93246.00,141,127958290822,Entertainment
T-Series,17418.00,224,200553539392,Music
Celebrity Shala,5139.00,1.9,1938839176,Film
Sony SAB,57397.00,71.6,83915581037,Entertainment
Multi DO Hindi,255.00,3.75,1593603014,How to and Style
Filmy Crazy,3942.00,3.42,1467587425,Film
Sahara TV Network,2941.00,1.81,1241059551,Entertainment
Palli Gram TV,209.00,5.86,3151882995,Entertainment
Eric Davis,125.00,6.8,1130870191,People&Blogs
Mirza fact,451.00,2.67,1159674711,Education
Amazing Facts,6171.00,0.767,1157774931,Education
Shorts Break,274.00,13.1,8375162695,Comedy
ak motive comedy,457.00,1.61,1073295994,Comedy
Chintu Toons,63.00,2.09,1047933471,Comedy
Kuldeep Singhania Shorts,545.00,3.28,1030255056,People&Blogs
LittleGolve,1092.00,7.34,7708836163,Entertainment
Colors TV,89495.00,55.9,53506176169,Entertainment
Sp Aditya,222.00,4.03,1022141000,Entertainment
Ishaan Ali 11,489.00,9.68,5854503365,People&Blogs
Sangeeth Kumar,408.00,3.69,2269902874,People&Blogs
BFTS Music,241.00,2.46,918674083,Music
Pooja Upreti Diaries,1991.00,0.772,936280893,Comedy
Priya Tiwari Entertainment,759.00,1.87,900530873,Entertainment
TECH NISHA,514.00,0.966,871479592,Comedy
unknown boy varun,211.00,12.6,4082058088,Music
Josh App,925.00,0.195,3337232141,How to and Style
Goldmines,4119.00,75.7,19231554112,Film
Luck of boy,322.00,3.55,1940650654,Entertainment
The Vishal bhatt,460.00,3.77,2744545217,People&Blogs
Zee Music Company,6847.00,87.6,49766446513,Music
GO LIVE FACT,296.00,1.99,766608244,Education
Classical Music,165.00,1.95,695008195,Music
TUNTUN YADAV OFFICIAL,519.00,2.26,686469384,Entertainment
SMT MONU,490.00,0.708,673534014,Comedy
Sun TV,35869.00,19,14186361469,Entertainment
TV9 Marathi,211683.00,734,8180255634,News&Politics
Comedy tv,2279.00,0.388,654583588,Comedy
KG Films,71.00,1.38,611021326,Film
Hindi Kahaniya TV,850.00,1.28,610238505,Film
kisan ka fact,150.00,11.4,583312277,Entertainment
Apna Multi Talent,362.00,1.76,592506581,Education
More s3,59.00,0.792,350231713,Games
Shantanu shorts,302.00,0.354,588043963,Entertainment
Hassi Comedy,208.00,1.45,573425468,Comedy
Zee News,146386.00,27.2,12685900073,News&Politics
